Sno,Date,Time,State_UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed,Correlate,Population,Density
1,334,2,0,1,0,0,0,1,0,6,0
2,352,0,0,1,0,0,0,1,0,6,0
3,370,2,0,6,0,0,0,6,0,6,0
4,387,3,0,61,11,0,0,9,0,6,0
5,423,6,0,61,11,0,0,9,0,6,0
6,439,5,0,61,11,0,0,10,0,6,0
7,8,3,0,61,11,0,0,10,0,6,0
8,209,2,0,61,11,0,0,10,0,6,0
9,407,2,0,61,11,0,0,10,0,6,0
10,454,2,0,61,11,0,0,10,0,6,0
11,473,2,0,61,11,0,0,10,0,6,0
12,492,2,0,61,11,0,0,10,0,6,0
13,511,2,0,61,11,0,0,10,0,6,0
14,530,1,0,61,11,0,0,10,0,6,0
15,549,1,0,61,11,0,0,11,0,6,0
16,27,1,0,61,11,0,0,11,0,6,0
17,46,1,0,61,11,0,0,11,0,6,0
18,65,1,0,61,11,10,0,11,0,6,0
19,83,1,0,61,11,10,0,11,0,6,0
20,101,1,0,61,11,10,0,11,0,6,0
21,119,1,0,61,11,10,0,11,0,6,0
22,137,1,0,61,11,10,0,11,0,6,0
23,155,1,0,61,11,10,0,11,0,6,0
24,173,1,0,61,11,11,0,12,0,6,0
25,191,1,0,61,11,11,0,14,0,6,0
26,228,1,0,61,11,11,0,15,0,6,0
27,246,1,0,61,11,11,0,16,0,6,0
28,264,1,0,61,11,11,0,17,0,6,0
29,282,1,0,61,11,11,0,18,0,6,0
30,300,1,0,61,11,11,0,22,0,6,0
31,318,1,0,61,11,11,0,27,0,6,0
32,336,1,0,61,11,11,0,33,0,6,0
33,354,1,0,61,11,11,0,33,0,6,0
34,372,1,0,61,11,11,0,33,0,6,0
35,389,1,0,61,11,15,0,33,0,6,0
36,425,1,0,61,11,15,0,33,0,6,0
37,10,1,0,61,11,16,0,33,0,6,0
38,211,1,0,61,11,16,0,33,0,6,0
39,409,1,0,61,11,17,0,33,0,6,0
40,456,1,0,61,11,32,0,33,0,6,0
41,475,1,0,61,11,32,0,33,0,6,0
42,494,4,0,61,11,32,0,33,0,6,0
43,513,4,0,61,11,32,0,33,0,6,0
44,532,4,0,61,11,33,0,33,0,6,0
45,551,4,0,61,11,33,0,33,0,6,0
46,29,4,0,61,11,33,0,33,0,6,0
47,48,4,0,61,11,33,0,33,0,6,0
48,67,4,0,61,11,33,0,33,0,6,0
49,85,4,0,61,11,33,0,33,0,6,0
50,103,4,0,61,11,33,0,33,0,6,0
51,121,4,0,61,11,33,0,33,0,6,0
52,139,4,0,61,11,33,0,33,0,6,0
53,157,4,0,61,11,33,0,33,0,6,0
54,175,4,0,61,11,33,0,33,0,6,0
55,193,4,0,61,11,33,0,33,0,6,0
56,230,4,0,61,11,33,0,33,0,6,0
57,248,4,0,61,11,33,0,33,0,6,0
58,266,4,0,61,11,33,0,33,0,6,0
